state_abb,STATECD,state_land_area
AL,1,33548846
AK,2,46696807
AZ,4,72958623
AR,5,34034243
CA,6,104773000
CO,8,66619618
CT,9,3203694
DE,10,1296281
FL,12,42084580
GA,13,38032098
HI,15,5969971
ID,16,53484642
IL,17,36057165
IN,18,23157078
IA,19,36013524
KS,20,52657279
KY,21,25860092
LA,22,33520164
ME,23,21199749
MD,24,6690527
MA,25,5288558
MI,26,37385030
MN,27,54010348
MS,28,31001949
MO,29,44610859
MT,30,94106757
NE,31,49506064
NV,32,67771361
NH,33,5940580
NJ,34,5000450
NM,35,77816960
NY,36,31429224
NC,37,34444234
ND,38,45246939
OH,39,26448518
OK,40,44735345
OR,41,62962807
PA,42,28996036
RI,44,781730
SC,45,20493136
SD,46,49353880
TN,47,26971951
TX,48,171901686
UT,49,54335029
VT,50,6153029
VA,51,27375956
WA,53,45630366
WV,54,15507056
WI,55,35928999
WY,56,62600430
