CN,PLT_CN,PREV_SBP_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,SUBP_STATUS_CD,POINT_NONSAMPLE_REASN_CD,MICRCOND,SUBPCOND,MACRCOND,CONDLIST,SLOPE,ASPECT,WATERDEP,P2A_GRM_FLG,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,ROOT_DIS_SEV_CD_PNWRS,NF_SUBP_STATUS_CD,NF_SUBP_NONSAMPLE_REASN_CD,P2VEG_SUBP_STATUS_CD,P2VEG_SUBP_NONSAMPLE_REASN_CD,INVASIVE_SUBP_STATUS_CD,INVASIVE_NONSAMPLE_REASN_CD,CROWN_CLOSURE_ME_NERS,GROUND_TRAN_PTS_BARE_RMRS,GROUND_TRAN_PTS_CRYP_RMRS,GROUND_TRAN_PTS_DEV_RMRS,GROUND_TRAN_PTS_LICHEN_RMRS,GROUND_TRAN_PTS_LITTER_RMRS,GROUND_TRAN_PTS_MOSS_RMRS,GROUND_TRAN_PTS_NOTSAMP_RMRS,GROUND_TRAN_PTS_OTHER_RMRS,GROUND_TRAN_PTS_PEIS_RMRS,GROUND_TRAN_PTS_ROAD_RMRS,GROUND_TRAN_PTS_ROCK_RMRS,GROUND_TRAN_PTS_TRIS_RMRS,GROUND_TRAN_PTS_VEG_RMRS,GROUND_TRAN_PTS_WATER_RMRS,GROUND_TRAN_PTS_WOOD_RMRS,PREV_STATUSCD_RMRS,ROOTSEVCD_RMRS
164394454010661,164365977010661,,2003,44,1,1,356,1,2,,1,1,,,,,,N,2008-09-02 14:29:47,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
164394455010661,164365977010661,,2003,44,1,1,356,2,2,,1,1,,,,,,N,2008-09-02 14:29:47,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
164394456010661,164365977010661,,2003,44,1,1,356,3,2,,1,1,,,,,,N,2008-09-02 14:29:47,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
164394457010661,164365977010661,,2003,44,1,1,356,4,2,,1,1,,,,,,N,2008-09-02 14:29:47,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942538010538,55942529010538,,2003,44,1,3,58,1,1,,1,1,,,6,260,0.0,,2005-09-08 07:56:12,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942534010538,55942529010538,,2003,44,1,3,58,2,1,,1,1,,,5,50,0.0,,2005-09-08 07:56:12,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942536010538,55942529010538,,2003,44,1,3,58,3,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:12,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942539010538,55942529010538,,2003,44,1,3,58,4,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:12,2005-09-08 09:45:08,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942261010538,55942250010538,,2003,44,1,3,84,1,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:09,2005-09-08 09:45:07,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
55942255010538,55942250010538,,2003,44,1,3,84,2,1,,1,1,,,0,0,0.0,,2005-09-08 07:56:09,2005-09-08 09:45:07,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
