CN,PLT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,SUBP,CONDID,CREATED_DATE,MODIFIED_DATE,MICRCOND_PROP,SUBPCOND_PROP,MACRCOND_PROP,NONFR_INCL_PCT_SUBP,NONFR_INCL_PCT_MACRO,CYCLE,SUBCYCLE
164394458010661,164365977010661,2003,44,1,1,356,1,1,2008-09-02 14:29:47,2025-03-20 06:42:25,1.0,1.0,,,,5,1
164394459010661,164365977010661,2003,44,1,1,356,2,1,2008-09-02 14:29:47,2025-03-20 06:42:25,1.0,1.0,,,,5,1
164394460010661,164365977010661,2003,44,1,1,356,3,1,2008-09-02 14:29:47,2025-03-20 06:42:25,1.0,1.0,,,,5,1
164394461010661,164365977010661,2003,44,1,1,356,4,1,2008-09-02 14:29:47,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942541010538,55942529010538,2003,44,1,3,58,1,1,2005-09-08 07:56:12,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942542010538,55942529010538,2003,44,1,3,58,2,1,2005-09-08 07:56:12,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942543010538,55942529010538,2003,44,1,3,58,3,1,2005-09-08 07:56:12,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942544010538,55942529010538,2003,44,1,3,58,4,1,2005-09-08 07:56:12,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942262010538,55942250010538,2003,44,1,3,84,1,1,2005-09-08 07:56:09,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942263010538,55942250010538,2003,44,1,3,84,2,1,2005-09-08 07:56:09,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942264010538,55942250010538,2003,44,1,3,84,3,1,2005-09-08 07:56:09,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942265010538,55942250010538,2003,44,1,3,84,4,1,2005-09-08 07:56:09,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942474010538,55942460010538,2003,44,1,3,144,1,1,2005-09-08 07:56:12,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942475010538,55942460010538,2003,44,1,3,144,2,1,2005-09-08 07:56:12,2025-03-20 06:42:25,1.0,1.0,,,,5,1
55942476010538,55942460010538,2003,44,1,3,144,3,2,2005-09-08 07:56:12,2025-03-20 06:42:25,1.0,1.0,,,,5,1
