CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_DATE,MODIFIED_DATE
1815746472290487,44,2,2,145006145010661,1,55945582010538,1,1.0,2025-03-20 06:51:49,
1815746473290487,44,3,2,145006145010661,1,55945582010538,1,1.0,2025-03-20 06:51:49,
1815746474290487,44,4,2,145006145010661,1,55945582010538,1,1.0,2025-03-20 06:51:49,
1815746450290487,44,1,1,145006147010661,1,55946457010538,1,1.0,2025-03-20 06:51:48,
1815746451290487,44,2,1,145006147010661,1,55946457010538,1,1.0,2025-03-20 06:51:48,
1815746452290487,44,3,1,145006147010661,1,55946457010538,1,1.0,2025-03-20 06:51:48,
1815746453290487,44,4,1,145006147010661,1,55946457010538,1,1.0,2025-03-20 06:51:48,
1815746454290487,44,1,2,145006147010661,1,55946457010538,1,1.0,2025-03-20 06:51:48,
1815746455290487,44,2,2,145006147010661,1,55946457010538,1,1.0,2025-03-20 06:51:48,
1815746456290487,44,3,2,145006147010661,1,55946457010538,1,1.0,2025-03-20 06:51:48,
1815746457290487,44,4,2,145006147010661,1,55946457010538,1,1.0,2025-03-20 06:51:48,
1815746490290487,44,3,2,145006149010661,2,55946323010538,2,1.0,2025-03-20 06:51:51,
1815746491290487,44,4,2,145006149010661,1,55946323010538,1,1.0,2025-03-20 06:51:51,
1815746483290487,44,1,1,145006149010661,1,55946323010538,1,1.0,2025-03-20 06:51:51,
1815746484290487,44,2,1,145006149010661,1,55946323010538,1,0.2749,2025-03-20 06:51:51,
1815746485290487,44,2,1,145006149010661,2,55946323010538,2,0.7251,2025-03-20 06:51:51,
1815746486290487,44,3,1,145006149010661,2,55946323010538,2,1.0,2025-03-20 06:51:51,
1815746487290487,44,4,1,145006149010661,1,55946323010538,1,1.0,2025-03-20 06:51:51,
1815746488290487,44,1,2,145006149010661,1,55946323010538,1,1.0,2025-03-20 06:51:51,
1815746489290487,44,2,2,145006149010661,2,55946323010538,2,1.0,2025-03-20 06:51:51,
1815746458290487,44,1,1,145006151010661,1,62272076010538,1,1.0,2025-03-20 06:51:49,
1815746459290487,44,2,1,145006151010661,1,62272076010538,1,1.0,2025-03-20 06:51:49,
1815746460290487,44,3,1,145006151010661,1,62272076010538,1,1.0,2025-03-20 06:51:49,
1815746461290487,44,4,1,145006151010661,1,62272076010538,1,0.8786,2025-03-20 06:51:49,
1815746462290487,44,4,1,145006151010661,2,62272076010538,2,0.1214,2025-03-20 06:51:49,
1815746463290487,44,1,2,145006151010661,1,62272076010538,1,1.0,2025-03-20 06:51:49,
1815746464290487,44,2,2,145006151010661,1,62272076010538,1,1.0,2025-03-20 06:51:49,
1815746465290487,44,3,2,145006151010661,1,62272076010538,1,1.0,2025-03-20 06:51:49,
1815746466290487,44,4,2,145006151010661,1,62272076010538,1,1.0,2025-03-20 06:51:49,
1815746648290487,44,1,1,145006153010661,1,55946358010538,1,1.0,2025-03-20 06:51:58,
1815746649290487,44,2,1,145006153010661,1,55946358010538,1,1.0,2025-03-20 06:51:58,
1815746650290487,44,3,1,145006153010661,1,55946358010538,1,1.0,2025-03-20 06:51:58,
1815746651290487,44,4,1,145006153010661,1,55946358010538,1,1.0,2025-03-20 06:51:58,
1815771702290487,44,4,1,374009822489998,1,221354484010661,1,1.0,2025-03-20 07:03:09,
1815771703290487,44,1,2,374009822489998,1,221354484010661,1,1.0,2025-03-20 07:03:09,
1815771704290487,44,2,2,374009822489998,1,221354484010661,1,1.0,2025-03-20 07:03:09,
1815771705290487,44,3,2,374009822489998,1,221354484010661,1,1.0,2025-03-20 07:03:09,
1815771706290487,44,4,2,374009822489998,1,221354484010661,1,1.0,2025-03-20 07:03:09,
1815771665290487,44,1,1,374009823489998,1,221354518010661,1,1.0,2025-03-20 07:03:06,
1815771666290487,44,2,1,374009823489998,1,221354518010661,1,1.0,2025-03-20 07:03:06,
1815771667290487,44,3,1,374009823489998,2,221354518010661,2,1.0,2025-03-20 07:03:06,
1815771668290487,44,4,1,374009823489998,1,221354518010661,1,1.0,2025-03-20 07:03:06,
1815771669290487,44,1,2,374009823489998,1,221354518010661,1,1.0,2025-03-20 07:03:06,
1815771670290487,44,2,2,374009823489998,1,221354518010661,1,1.0,2025-03-20 07:03:06,
1815771671290487,44,3,2,374009823489998,2,221354518010661,2,1.0,2025-03-20 07:03:06,
1815771672290487,44,4,2,374009823489998,1,221354518010661,1,1.0,2025-03-20 07:03:06,
1815771707290487,44,1,1,374009824489998,1,221354520010661,1,0.8103,2025-03-20 07:03:11,
1815771708290487,44,1,1,374009824489998,2,221354520010661,2,0.1897,2025-03-20 07:03:11,
1815771709290487,44,2,1,374009824489998,2,221354520010661,2,1.0,2025-03-20 07:03:11,
1815771710290487,44,3,1,374009824489998,2,221354520010661,2,1.0,2025-03-20 07:03:11,
1815771711290487,44,4,1,374009824489998,1,221354520010661,1,1.0,2025-03-20 07:03:11,
1815771712290487,44,1,2,374009824489998,1,221354520010661,1,0.7137,2025-03-20 07:03:12,
1815771713290487,44,1,2,374009824489998,2,221354520010661,2,0.2863,2025-03-20 07:03:12,
1815771714290487,44,2,2,374009824489998,2,221354520010661,2,1.0,2025-03-20 07:03:12,
1815771715290487,44,3,2,374009824489998,2,221354520010661,2,1.0,2025-03-20 07:03:12,
1815771716290487,44,4,2,374009824489998,1,221354520010661,1,1.0,2025-03-20 07:03:12,
1815771673290487,44,1,1,374009827489998,1,221354498010661,1,1.0,2025-03-20 07:03:06,
1815771674290487,44,2,1,374009827489998,1,221354498010661,1,1.0,2025-03-20 07:03:06,
1815771675290487,44,3,1,374009827489998,1,221354498010661,1,1.0,2025-03-20 07:03:06,
1815742134290487,44,4,1,120044565010661,1,55942736010538,1,1.0,2025-03-20 06:50:07,
1815742135290487,44,1,2,120044565010661,1,55942736010538,1,1.0,2025-03-20 06:50:07,
1815742136290487,44,2,2,120044565010661,1,55942736010538,1,1.0,2025-03-20 06:50:07,
1815742137290487,44,3,2,120044565010661,1,55942736010538,1,1.0,2025-03-20 06:50:07,
1815742138290487,44,4,2,120044565010661,1,55942736010538,1,1.0,2025-03-20 06:50:07,
1815742139290487,44,1,1,120044567010661,1,55942894010538,1,1.0,2025-03-20 06:50:07,
1815742140290487,44,2,1,120044567010661,1,55942894010538,1,1.0,2025-03-20 06:50:07,
1815742141290487,44,3,1,120044567010661,1,55942894010538,1,1.0,2025-03-20 06:50:07,
1815742142290487,44,4,1,120044567010661,1,55942894010538,1,1.0,2025-03-20 06:50:07,
1815742143290487,44,1,2,120044567010661,1,55942894010538,1,1.0,2025-03-20 06:50:07,
1815742144290487,44,2,2,120044567010661,1,55942894010538,1,1.0,2025-03-20 06:50:07,
1815742145290487,44,3,2,120044567010661,1,55942894010538,1,1.0,2025-03-20 06:50:07,
1815742146290487,44,4,2,120044567010661,1,55942894010538,1,1.0,2025-03-20 06:50:07,
1815742147290487,44,1,1,120044569010661,1,55943647010538,1,1.0,2025-03-20 06:50:07,
1815742148290487,44,2,1,120044569010661,1,55943647010538,1,1.0,2025-03-20 06:50:07,
1815742149290487,44,3,1,120044569010661,1,55943647010538,1,1.0,2025-03-20 06:50:07,
1815742150290487,44,4,1,120044569010661,1,55943647010538,1,1.0,2025-03-20 06:50:07,
1815742151290487,44,1,2,120044569010661,1,55943647010538,1,1.0,2025-03-20 06:50:07,
1815742152290487,44,2,2,120044569010661,1,55943647010538,1,1.0,2025-03-20 06:50:07,
1815742153290487,44,3,2,120044569010661,1,55943647010538,1,1.0,2025-03-20 06:50:07,
1815742154290487,44,4,2,120044569010661,1,55943647010538,1,1.0,2025-03-20 06:50:07,
1815742155290487,44,4,1,120044571010661,1,55943754010538,1,1.0,2025-03-20 06:50:07,
1815742156290487,44,1,1,120044571010661,1,55943754010538,1,1.0,2025-03-20 06:50:07,
1815742157290487,44,2,1,120044571010661,1,55943754010538,1,1.0,2025-03-20 06:50:07,
1815742158290487,44,3,1,120044571010661,1,55943754010538,1,1.0,2025-03-20 06:50:07,
1815742159290487,44,4,2,120044571010661,1,55943754010538,1,1.0,2025-03-20 06:50:07,
1815742160290487,44,1,2,120044571010661,1,55943754010538,1,1.0,2025-03-20 06:50:07,
1815742161290487,44,2,2,120044571010661,1,55943754010538,1,1.0,2025-03-20 06:50:07,
1815742162290487,44,3,2,120044571010661,1,55943754010538,1,1.0,2025-03-20 06:50:07,
1815742163290487,44,1,1,120044573010661,1,55945681010538,1,1.0,2025-03-20 06:50:08,
1815742164290487,44,2,1,120044573010661,1,55945681010538,1,0.3485,2025-03-20 06:50:08,
1815742165290487,44,2,1,120044573010661,1,55945681010538,2,0.6515,2025-03-20 06:50:08,
1815742166290487,44,3,1,120044573010661,1,55945681010538,3,1.0,2025-03-20 06:50:08,
1815742167290487,44,4,1,120044573010661,1,55945681010538,1,1.0,2025-03-20 06:50:08,
1815742168290487,44,1,2,120044573010661,1,55945681010538,1,1.0,2025-03-20 06:50:08,
1815742169290487,44,2,2,120044573010661,1,55945681010538,2,1.0,2025-03-20 06:50:08,
1815742170290487,44,3,2,120044573010661,1,55945681010538,3,1.0,2025-03-20 06:50:08,
1815742171290487,44,4,2,120044573010661,1,55945681010538,1,1.0,2025-03-20 06:50:08,
1815742172290487,44,1,1,120044575010661,1,55944534010538,1,0.8325,2025-03-20 06:50:12,
1815742173290487,44,1,1,120044575010661,1,55944534010538,2,0.1675,2025-03-20 06:50:12,
1815742174290487,44,2,1,120044575010661,1,55944534010538,1,0.8954,2025-03-20 06:50:12,
1815742175290487,44,2,1,120044575010661,1,55944534010538,2,0.1046,2025-03-20 06:50:12,
1815742176290487,44,3,1,120044575010661,2,55944534010538,3,1.0,2025-03-20 06:50:12,
1815742177290487,44,4,1,120044575010661,1,55944534010538,1,0.7227,2025-03-20 06:50:12,
1815742178290487,44,4,1,120044575010661,1,55944534010538,2,0.2773,2025-03-20 06:50:12,
1815742179290487,44,1,2,120044575010661,1,55944534010538,1,1.0,2025-03-20 06:50:12,
