TRE_CN,PREV_TRE_CN,PLT_CN,STATECD,SUBPTYP,SPCD,STATUSCD,DIA,HT,ACTUALHT,CR,STANDING_DEAD_CD,DIAHTCD,CULL,ROUGHCULL,CULLFORM,CULLMSTOP,DECAYCD,TREECLCD,HTDMP,WDLDSTEM,STDORGCD,SITREE,BALIVE,VOLTSGRS,VOLTSGRS_BARK,VOLTSSND,VOLTSSND_BARK,VOLCFGRS_STUMP,VOLCFGRS_STUMP_BARK,VOLCFSND_STUMP,VOLCFSND_STUMP_BARK,VOLCFGRS,VOLCFGRS_BARK,VOLCFGRS_TOP,VOLCFGRS_TOP_BARK,VOLCFSND,VOLCFSND_BARK,VOLCFSND_TOP,VOLCFSND_TOP_BARK,VOLCFNET,VOLCFNET_BARK,VOLCSGRS,VOLCSGRS_BARK,VOLCSSND,VOLCSSND_BARK,VOLCSNET,VOLCSNET_BARK,VOLBFGRS,VOLBFNET,VOLBSGRS,VOLBSNET,DRYBIO_STEM,DRYBIO_STEM_BARK,DRYBIO_STUMP,DRYBIO_STUMP_BARK,DRYBIO_BOLE,DRYBIO_BOLE_BARK,DRYBIO_BRANCH,DRYBIO_FOLIAGE,DRYBIO_AG,DRYBIO_BG,CARBON_AG,CARBON_BG,DRYBIO_SAWLOG,DRYBIO_SAWLOG_BARK,CREATED_DATE,MODIFIED_DATE
1813833216290487,530969813126144,1285511426290487,44,,802,1,14.5,74,74,35,,1,1,12,,,,2,0.0,,0,,111.5308,35.785645,4.418158,35.427788,4.418158,1.91869,0.236885,1.899503,0.236885,33.497134,4.135615,0.369821,0.045659,33.162162,4.135615,0.366123,0.045659,29.142506,3.639341,28.065689,3.465039,27.785032,3.465039,24.417149,3.049234,132.484993,119.236494,,,1227.938055,157.103515,65.837358,8.423292,1149.410766,147.056662,434.350002,38.670055,1819.391573,354.424341,902.41822,175.794473,963.037772,123.211931,2025-03-20 07:13:07,
1813833217290487,530969814126144,1285511426290487,44,,833,1,16.0,80,80,35,,1,1,11,,,,2,0.0,,0,,111.5308,45.517606,5.668144,45.06243,5.668144,2.040338,0.254076,2.019935,0.254076,43.115718,5.369046,0.361549,0.045022,42.684561,5.369046,0.357933,0.045022,37.941832,4.778451,37.922837,4.722395,37.543609,4.722395,33.372096,4.202931,181.097529,164.798751,,,1529.369048,248.157903,68.554361,11.123742,1448.666822,235.063029,685.703697,32.932864,2463.230648,453.894531,1177.42425,216.961586,1274.188568,206.751904,2025-03-20 07:13:07,
62271042010538,,62270948010538,44,,129,1,1.7,16,16,30,,,,,,,,2,,,0,,23.3698,0.204583,0.067652,0.204583,0.067652,,,,,,,,,,,,,,,,,,,,,,,,,3.299156,0.590771,,,,,0.905586,1.074657,4.795512,1.09641,2.431325,0.55588,,,2025-03-20 06:45:45,
62271050010538,,62270948010538,44,,802,1,5.9,26,26,35,,1,1,4,,,,2,,,0,,23.3698,2.273491,0.928492,2.250756,0.928492,0.294007,0.120072,0.291067,0.120072,1.628329,0.665008,0.351155,0.143411,1.612046,0.665008,0.347643,0.143411,1.546913,0.638408,,,,,,,,,,,91.829417,14.746782,11.875345,1.907048,65.770448,10.562002,13.017596,11.91747,119.593795,21.481284,59.318522,10.654717,,,2025-03-20 06:45:45,2025-03-20 13:11:24
62271046010538,,62270948010538,44,,129,1,2.13,17,17,35,,,,,,,,2,,,0,,23.3698,0.304414,0.107432,0.304414,0.107432,,,,,,,,,,,,,,,,,,,,,,,,,5.193798,0.966827,,,,,1.847629,1.709938,8.008254,1.840751,4.060185,0.933261,,,2025-03-20 06:45:45,
62271044010538,,62270948010538,44,,129,1,2.16,18,18,50,,,,,,,,2,,,0,,23.3698,0.332689,0.109236,0.332689,0.109236,,,,,,,,,,,,,,,,,,,,,,,,,5.688041,1.043256,,,,,1.815645,1.671468,8.546942,1.901287,4.333299,0.963952,,,2025-03-20 06:45:45,
62270976010538,,62270948010538,44,,316,1,8.1,40,40,45,,1,1,7,,,,2,,,0,,23.3698,5.909798,1.02308,5.8507,1.02308,0.459904,0.079617,0.455305,0.079617,5.026595,0.870184,0.423299,0.07328,4.976329,0.870184,0.419066,0.07328,4.624467,0.809271,,,,,,,,,,,197.513487,33.898814,15.370615,2.638025,167.995646,28.83273,54.072496,11.891349,285.484796,47.095029,138.745611,22.888184,,,2025-03-20 06:45:45,2025-03-20 13:11:24
62271024010538,,62270948010538,44,,371,1,2.83,28,28,40,,,,,,,,2,,,0,,23.3698,0.652281,0.09494,0.652281,0.09494,,,,,,,,,,,,,,,,,,,,,,,,,20.543289,3.267937,,,,,2.812315,2.004335,26.623541,5.630377,12.992288,2.747624,,,2025-03-20 06:45:45,
62271022010538,,62270948010538,44,,531,1,7.9,26,26,55,,1,2,6,,,,2,,,0,,23.3698,4.757824,0.631037,4.662667,0.631037,0.454301,0.060255,0.445215,0.060255,4.06071,0.538578,0.242813,0.032205,3.979496,0.538578,0.237957,0.032205,3.735853,0.506263,,,,,,,,,,,109.611135,5.768532,10.466221,0.550808,93.550964,4.923329,24.01155,3.222059,139.391217,42.255683,66.629002,20.198216,,,2025-03-20 06:45:45,2025-03-20 13:11:24
62271020010538,,62270948010538,44,,531,1,6.3,27,27,45,,1,1,4,,,,2,,,0,,23.3698,2.921376,0.409954,2.892163,0.409954,0.269442,0.03781,0.266747,0.03781,2.342346,0.328699,0.309588,0.043444,2.318923,0.328699,0.306492,0.043444,2.225229,0.315551,,,,,,,,,,,73.121691,4.489463,6.744096,0.414068,58.62864,3.599631,14.451517,2.420882,92.062672,26.271182,44.005957,12.557625,,,2025-03-20 06:45:45,2025-03-20 13:11:24
